team_name,logo_url
Chievo Verona,https://tmssl.akamaized.net//images/wappen/small/862.png?lm=1730983190
Cittadella,https://tmssl.akamaized.net//images/wappen/small/4084.png?lm=1691049164
Como,https://tmssl.akamaized.net//images/wappen/small/1047.png?lm=1565704078
Cosenza,https://tmssl.akamaized.net//images/wappen/small/4031.png?lm=1531570178
Coventry,https://tmssl.akamaized.net//images/wappen/small/990.png?lm=1684518179
Cremonese,https://tmssl.akamaized.net//images/wappen/small/2239.png?lm=1501770762
Crotone,https://tmssl.akamaized.net//images/wappen/small/4083.png?lm=1520933356
Crystal Palace,https://tmssl.akamaized.net//images/wappen/small/873.png?lm=1457723287
DC Karabükspor,https://tmssl.akamaized.net//images/wappen/small/1506_1444095043.png?lm=1444095044
Dardanelspor,https://tmssl.akamaized.net//images/wappen/small/1507.png?lm=1635862083
Denizlispor,https://tmssl.akamaized.net//images/wappen/small/833.png?lm=1415444729
Derby,https://tmssl.akamaized.net//images/wappen/small/22_1438027448.png?lm=1438027448
Diyarbakirspor,https://tmssl.akamaized.net//images/wappen/small/845.png?lm=1441811244
Dundee FC,https://tmssl.akamaized.net//images/wappen/small/511.png?lm=1416262848
Dundee United,https://tmssl.akamaized.net//images/wappen/small/1519.png?lm=1754318003
Dunfermline A.,https://tmssl.akamaized.net//images/wappen/small/1270.png?lm=1431536552
Elazigspor,https://tmssl.akamaized.net//images/wappen/small/2292.png?lm=1442154052
Empoli,https://tmssl.akamaized.net//images/wappen/small/749_1622183307.png?lm=1622183308
Erzurumspor,https://tmssl.akamaized.net//images/wappen/small/1766.png?lm=1441254150
Eskisehirspor,https://tmssl.akamaized.net//images/wappen/small/825.png?lm=1408653830
Everton,https://tmssl.akamaized.net//images/wappen/small/29.png?lm=1445949846
Eyüpspor,https://tmssl.akamaized.net//images/wappen/small/7160.png?lm=1753429120
FC Crotone,https://tmssl.akamaized.net//images/wappen/small/4083_1590563046.png?lm=1590563026
FC Empoli,https://tmssl.akamaized.net//images/wappen/small/749.png?lm=1626441481
Falkirk,https://tmssl.akamaized.net//images/wappen/small/1191.png?lm=1422899699
Fenerbahçe,https://tmssl.akamaized.net//images/wappen/small/36.png?lm=1753429185
Feralpisalò,https://tmssl.akamaized.net//images/wappen/small/9439.png?lm=1567524224
Fermana,https://tmssl.akamaized.net//images/wappen/small/4033_1455129230.png?lm=1455129227
Fiorentina,https://tmssl.akamaized.net//images/wappen/small/430.png?lm=1722844765
Foggia,https://tmssl.akamaized.net//images/wappen/small/704_1584974325.png?lm=1584974325
Frosinone,https://tmssl.akamaized.net//images/wappen/small/8970.png?lm=1438547543
Fulham,https://tmssl.akamaized.net//images/wappen/small/931.png?lm=1556831687
GB Oftasspor,https://tmssl.akamaized.net//images/wappen/small/10483_1444093385.png?lm=1444093385
Galatasaray,https://tmssl.akamaized.net//images/wappen/small/141.png?lm=1406739071
Gallipoli,https://tmssl.akamaized.net//images/wappen/small/10348_1585752726.png?lm=1585752726
Gaziantep FK,https://tmssl.akamaized.net//images/wappen/small/2832.png?lm=1753429399
Gaziantepspor,https://tmssl.akamaized.net//images/wappen/small/524.png?lm=1408654192
Genclerbirligi,https://tmssl.akamaized.net//images/wappen/small/820.png?lm=1753429938
Genoa,https://tmssl.akamaized.net//images/wappen/small/252.png?lm=1655305880
Giresunspor,https://tmssl.akamaized.net//images/wappen/small/11688.png?lm=1667476015
Gretna FC,https://tmssl.akamaized.net//images/wappen/small/3029.png?lm=1447597450
Grosseto,https://tmssl.akamaized.net//images/wappen/small/4333_1443167400.png?lm=1443167400
Göztepe,https://tmssl.akamaized.net//images/wappen/small/1467.png?lm=1753429550
Hacettepe,https://tmssl.akamaized.net//images/wappen/small/10483.png?lm=1441763512
Hamilton Acad.,https://tmssl.akamaized.net//images/wappen/small/2999.png?lm=1416263000
Hatayspor,https://tmssl.akamaized.net//images/wappen/small/7775.png?lm=1753359991
Heart of Midl.,https://tmssl.akamaized.net//images/wappen/small/43.png?lm=1522182618
Hellas Verona,https://tmssl.akamaized.net//images/wappen/small/276.png?lm=1617228746
Hibernian FC,https://tmssl.akamaized.net//images/wappen/small/903.png?lm=1737462058
Huddersfield,https://tmssl.akamaized.net//images/wappen/small/1110_1561966129.png?lm=1561966130
Hull City,https://tmssl.akamaized.net//images/wappen/small/3008_1564298175.png?lm=1564298175
Inter,https://tmssl.akamaized.net//images/wappen/small/46.png?lm=1618900989
Inverness CT,https://tmssl.akamaized.net//images/wappen/small/2451.png?lm=1416262902
Ipswich,https://tmssl.akamaized.net//images/wappen/small/677.png?lm=1407655249
Istanbul BBSK,https://tmssl.akamaized.net//images/wappen/small/6890_1444099150.png?lm=1444099150
Istanbulspor,https://tmssl.akamaized.net//images/wappen/small/924.png?lm=1753360188
Juve Stabia,https://tmssl.akamaized.net//images/wappen/small/5587.png?lm=1731306677
Juventus,https://tmssl.akamaized.net//images/wappen/small/506.png?lm=1626441487
K. Erciyesspor,https://tmssl.akamaized.net//images/wappen/small/6894.png?lm=1444097883
Karabükspor,https://tmssl.akamaized.net//images/wappen/small/1506.png?lm=1407228551
Karagümrük,https://tmssl.akamaized.net//images/wappen/small/6646.png?lm=1753429757
Kardemir Karabük,https://tmssl.akamaized.net//images/wappen/small/1506.png?lm=1407228551
Karsiyaka,https://tmssl.akamaized.net//images/wappen/small/2330.png?lm=1415443286
Kasimpasa,https://tmssl.akamaized.net//images/wappen/small/10484.png?lm=1753430136
Kayserispor,https://tmssl.akamaized.net//images/wappen/small/3205.png?lm=1753430186
Kilmarnock FC,https://tmssl.akamaized.net//images/wappen/small/2553.png?lm=1568027450
Kocaelispor,https://tmssl.akamaized.net//images/wappen/small/120.png?lm=1753430297
Konyaspor,https://tmssl.akamaized.net//images/wappen/small/2293.png?lm=1753430360
LR Vicenza,https://tmssl.akamaized.net//images/wappen/small/2655.png?lm=1577438699
Latina Calcio,https://tmssl.akamaized.net//images/wappen/small/22045_1471007227.png?lm=1471007227
Lazio,https://tmssl.akamaized.net//images/wappen/small/398.png?lm=1601537785
Lecce,https://tmssl.akamaized.net//images/wappen/small/1005.png?lm=1689169528
Lecco,https://tmssl.akamaized.net//images/wappen/small/5514.png?lm=1637071017
Leeds,https://tmssl.akamaized.net//images/wappen/small/399.png?lm=1645652224
Leicester,https://tmssl.akamaized.net//images/wappen/small/1003.png?lm=1472229265
