player_id,player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
7703,Alfonso Vera,28,Spain,Sevilla FC,2001,2002,8,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
7773,Francisco Bravo,28,Spain,Málaga CF,1999,2002,67,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
22967,David Belenguer,29,Spain,Real Betis,2001,2002,24,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
3814,Doriva,30,Brazil,Celta de Vigo,2000,2002,34,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/3814-1671092358.jpg?lm=1
29365,Ilan Bakhar,27,Israel,Racing,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
72221,Nacho Rodríguez,19,Spain,Racing,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/s_72221_266_2012_1.jpg?lm=1
7461,Zuhaitz Gurrutxaga,21,Spain,Real Sociedad,1999,2002,34,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
29079,Edu Aguilar,21,Spain,Racing,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
29096,Nacho Fernández,22,Spain,Alavés,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
7847,Borja,24,Spain,Racing,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
23014,Míchel Carrilero,24,Spain,Rayo Vallecano,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
23014,Míchel Carrilero,21,Spain,Rayo Vallecano,1999,1999,24,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
72198,Joaquín Enguix,24,Spain,Valencia,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
16621,Manuel Almunia,25,Spain,Recr. Huelva,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/s_16621_11_2009_1.jpg?lm=1
3693,Salva Ballesta,27,Spain,Valencia,2001,2002,24,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/3693-1488373593.jpg?lm=1
172332,José Luis Santamaría,29,Spain,Real Valladolid,1995,2002,165,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
172663,Moisés Arteaga,33,Spain,Espanyol,2002,2002,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
172663,Moisés Arteaga,31,Spain,Espanyol,1995,2000,193,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
4065,Joey Gudjónsson,22,Iceland,Real Betis,2001,2002,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
7561,Iván Kaviedes,24,Ecuador,Celta de Vigo,2002,2002,1,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/7561-1719002990.jpg?lm=1
7561,Iván Kaviedes,21,Ecuador,Celta de Vigo,1999,1999,5,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/7561-1719002990.jpg?lm=1
172410,Nelson Zelaya,28,Paraguay,Recr. Huelva,2002,2002,1,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
29060,Alberto Aguilar,17,Spain,Málaga CF,2002,2002,1,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
29063,Javier Dopico,17,Spain,Málaga CF,2002,2002,1,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
