player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Georgios Liavas,24,Greece,Rio Ave,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/481676-1738081958.png?lm=1
Nabil Touaizi,24,Morocco,Alverca,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/487180-1745338434.jpg?lm=1
Yanis Begraoui,24,Morocco,Estoril,2024,2025,45,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/569376-1724845434.jpg?lm=1
Andrew,24,Brazil,Gil Vicente,2021,2025,110,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/610417-1710238883.jpg?lm=1
Nikolaos Athanasiou,24,Greece,Rio Ave,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/623072-1746474849.png?lm=1
Borja Sainz,24,Spain,Porto,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/634461-1666968176.png?lm=1
Santi García,24,Spain,Gil Vicente,2024,2025,38,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
André Lacximicant,24,Portugal,Estoril,2024,2025,38,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/752442-1724846373.jpg?lm=1
Alan Varela,24,Argentina,Porto,2023,2025,72,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/756990-1758829907.jpg?lm=1
Facundo Cáseres,24,Argentina,Gil Vicente,2024,2025,31,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/829434-1646598800.png?lm=1
Sorriso,24,Brazil,Famalicão,2023,2025,55,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/868101-1662647908.jpg?lm=1
Zé Carlos,24,Portugal,Gil Vicente,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/908936-1672674297.png?lm=1
Zé Carlos,27,Portugal,Gil Vicente,2021,2025,106,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/617679-1710239662.jpg?lm=1
Zé Carlos,25,Brazil,Gil Vicente,1990,1990,3,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Felix Bacher,25,Austria,Estoril,2024,2025,34,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/394134-1724845183.jpg?lm=1
Alan,25,Brazil,Moreirense,2023,2025,75,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/428786-1705663806.png?lm=1
Víctor Gómez,25,Spain,Braga,2022,2025,94,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/495601-1583506246.jpg?lm=1
Tiago Manso,25,Portugal,Tondela,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/592498-1546889206.png?lm=1
Naïs Djouahra,25,France,Arouca,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/594926-1581659626.jpg?lm=1
