team_name,logo_url
CyD Leonesa,https://tmssl.akamaized.net//images/wappen/small/4542.png?lm=1517666376
Cádiz CF,https://tmssl.akamaized.net//images/wappen/small/2687.png?lm=1683542431
Córdoba CF,https://tmssl.akamaized.net//images/wappen/small/993.png?lm=1458766826
Dep. La Coruña,https://tmssl.akamaized.net//images/wappen/small/897.png?lm=1563373966
Desportivo Aves,https://tmssl.akamaized.net//images/wappen/small/3336.png?lm=1534502701
Dijon,https://tmssl.akamaized.net//images/wappen/small/2969.png?lm=1711120027
Elche CF,https://tmssl.akamaized.net//images/wappen/small/1531.png?lm=1421955260
Eldense,https://tmssl.akamaized.net//images/wappen/small/12567.png?lm=1689604234
Entente Chaumont,https://tmssl.akamaized.net//images/wappen/small/35561_1614691106.png?lm=1614691106
Espanyol,https://tmssl.akamaized.net//images/wappen/small/714.png?lm=1406966369
Español,https://tmssl.akamaized.net//images/wappen/small/714.png?lm=1406966369
Espinho,https://tmssl.akamaized.net//images/wappen/small/3265.png?lm=1486317153
Estoril,https://tmssl.akamaized.net//images/wappen/small/1465.png?lm=1534340702
Estrela Amadora,https://tmssl.akamaized.net//images/wappen/small/2431.png?lm=1743687810
Extremadura,https://tmssl.akamaized.net//images/wappen/small/811.png?lm=1468151471
FC Andorra,https://tmssl.akamaized.net//images/wappen/small/10718.png?lm=1652807647
FC Annecy,https://tmssl.akamaized.net//images/wappen/small/30204.png?lm=1720884905
FC Cartagena,https://tmssl.akamaized.net//images/wappen/small/7077.png?lm=1707084533
FC Chambly Oise,https://tmssl.akamaized.net//images/wappen/small/35012.png?lm=1578222056
FC Grenoble I.,https://tmssl.akamaized.net//images/wappen/small/1290_1662147966.png?lm=1662147967
FC Gueugnon,https://tmssl.akamaized.net//images/wappen/small/1397_1676507212.png?lm=1676507213
FC Istres,https://tmssl.akamaized.net//images/wappen/small/2580_1486126631.png?lm=1486126631
FC Lorient,https://tmssl.akamaized.net//images/wappen/small/1158.png?lm=1406642498
FC Martigues,https://tmssl.akamaized.net//images/wappen/small/1165_1486466946.png?lm=1486466946
FC Metz,https://tmssl.akamaized.net//images/wappen/small/347.png?lm=1625391843
FC Nantes,https://tmssl.akamaized.net//images/wappen/small/995.png?lm=1581355747
FC Rouen 1899,https://tmssl.akamaized.net//images/wappen/small/1564_1487600560.png?lm=1487600560
FC Sochaux,https://tmssl.akamaized.net//images/wappen/small/750_1439104451.png?lm=1439104451
FC Sète 34,https://tmssl.akamaized.net//images/wappen/small/3520.png?lm=1620761688
FC Tours,https://tmssl.akamaized.net//images/wappen/small/3161_1486568512.png?lm=1486568512
Famalicão,https://tmssl.akamaized.net//images/wappen/small/3329.png?lm=1737563329
Farense,https://tmssl.akamaized.net//images/wappen/small/4294.png?lm=1550150253
Feirense,https://tmssl.akamaized.net//images/wappen/small/3349.png?lm=1469968627
Felgueiras,https://tmssl.akamaized.net//images/wappen/small/1701.png?lm=1548960670
G. Ajaccio,https://tmssl.akamaized.net//images/wappen/small/3558.png?lm=1438295959
G. Bordeaux,https://tmssl.akamaized.net//images/wappen/small/40.png?lm=1627322046
Getafe,https://tmssl.akamaized.net//images/wappen/small/3709.png?lm=1408655116
Gil Vicente,https://tmssl.akamaized.net//images/wappen/small/2424.png?lm=1624283300
Gimnàstic,https://tmssl.akamaized.net//images/wappen/small/5648.png?lm=1437940874
Girona,https://tmssl.akamaized.net//images/wappen/small/12321.png?lm=1730455718
