team_name,logo_url
BB Erzurumspor,https://tmssl.akamaized.net//images/wappen/small/39722_1661508155.png?lm=1661508155
BW Berlin,https://tmssl.akamaized.net//images/wappen/small/2149_1400763598.png?lm=1400763596
Babelsberg 03,https://tmssl.akamaized.net//images/wappen/small/90_1519554073.png?lm=1519554073
Bakirköyspor,https://tmssl.akamaized.net//images/wappen/small/3202.png?lm=1441965320
Balikesirspor,https://tmssl.akamaized.net//images/wappen/small/20698.png?lm=1408654234
Barcelona,https://tmssl.akamaized.net//images/wappen/small/131.png?lm=1406739548
Barcelona B,https://tmssl.akamaized.net//images/wappen/small/2464.png?lm=1406739548
Bari,https://tmssl.akamaized.net//images/wappen/small/332_1447248155.png?lm=1447248155
Barletta CS,https://tmssl.akamaized.net//images/wappen/small/5585_1584974093.png?lm=1584974093
Barnsley,https://tmssl.akamaized.net//images/wappen/small/349.png?lm=1574162298
Basaksehir,https://tmssl.akamaized.net//images/wappen/small/6890.png?lm=1753429032
Bayer 05,https://tmssl.akamaized.net//images/wappen/small/95_1400668690.png?lm=1400668689
Bayern Munich,https://tmssl.akamaized.net//images/wappen/small/27.png?lm=1729503608
Beerschot AC,https://tmssl.akamaized.net//images/wappen/small/566.png?lm=1420309154
Beerschot VA,https://tmssl.akamaized.net//images/wappen/small/41274.png?lm=1568728391
Beira-Mar,https://tmssl.akamaized.net//images/wappen/small/1436.png?lm=1416392753
Belenenses,https://tmssl.akamaized.net//images/wappen/small/68608.png?lm=1549897757
Benevento,https://tmssl.akamaized.net//images/wappen/small/4171.png?lm=1434444046
Benfica,https://tmssl.akamaized.net//images/wappen/small/294.png?lm=1535908439
Besançon RC,https://tmssl.akamaized.net//images/wappen/small/2967_1486567093.png?lm=1486567093
Besiktas,https://tmssl.akamaized.net//images/wappen/small/114.png?lm=1741019298
Bilbao Athletic,https://tmssl.akamaized.net//images/wappen/small/6688.png?lm=1695069038
Bilbao B,https://tmssl.akamaized.net//images/wappen/small/6688.png?lm=1695069038
Birmingham,https://tmssl.akamaized.net//images/wappen/small/337.png?lm=1672321276
Blackburn,https://tmssl.akamaized.net//images/wappen/small/164.png?lm=1495228542
Blackpool,https://tmssl.akamaized.net//images/wappen/small/1181.png?lm=1407655321
Boavista,https://tmssl.akamaized.net//images/wappen/small/2503.png?lm=1480959207
Bodrum FK,https://tmssl.akamaized.net//images/wappen/small/44006.png?lm=1753359590
Bologna,https://tmssl.akamaized.net//images/wappen/small/1025.png?lm=1626441324
Bolton,https://tmssl.akamaized.net//images/wappen/small/355.png?lm=1407653952
Boluspor,https://tmssl.akamaized.net//images/wappen/small/3207.png?lm=1753361127
Boom FC,https://tmssl.akamaized.net//images/wappen/small/57299.png?lm=1481015989
Bourg-en-Bresse,https://tmssl.akamaized.net//images/wappen/small/2972.png?lm=1546256460
Bourges,https://tmssl.akamaized.net//images/wappen/small/3549_1485865006.png?lm=1485865006
Bournemouth,https://tmssl.akamaized.net//images/wappen/small/989.png?lm=1457991811
Bradford,https://tmssl.akamaized.net//images/wappen/small/1027.png?lm=1455219590
