team_name,logo_url
1.FC K'lautern,https://tmssl.akamaized.net//images/wappen/small/2_1400587921.png?lm=1400587920
1.FC Köln,https://tmssl.akamaized.net//images/wappen/small/3.png?lm=1656580823
1.FC Magdeburg,https://tmssl.akamaized.net//images/wappen/small/187.png?lm=1559905461
1.FC Nuremberg,https://tmssl.akamaized.net//images/wappen/small/4.png?lm=1525459914
1860 Munich,https://tmssl.akamaized.net//images/wappen/small/72.png?lm=1403081335
ADO Den Haag,https://tmssl.akamaized.net//images/wappen/small/1268.png?lm=1420455700
AFC Tubize,https://tmssl.akamaized.net//images/wappen/small/3772_1418209122.png?lm=1418209122
AZ Alkmaar,https://tmssl.akamaized.net//images/wappen/small/1090.png?lm=1586848339
Ajax,https://tmssl.akamaized.net//images/wappen/small/610.png?lm=1750408025
Alem. Aachen,https://tmssl.akamaized.net//images/wappen/small/8_1400669229.png?lm=1400669228
Almere City,https://tmssl.akamaized.net//images/wappen/small/723.png?lm=1588851577
Arm. Bielefeld,https://tmssl.akamaized.net//images/wappen/small/10.png?lm=1629204733
Aston Villa,https://tmssl.akamaized.net//images/wappen/small/405_1469439248.png?lm=1469439249
Augsburg,https://tmssl.akamaized.net//images/wappen/small/167.png?lm=1656582897
BW Berlin,https://tmssl.akamaized.net//images/wappen/small/2149_1400763598.png?lm=1400763596
Babelsberg 03,https://tmssl.akamaized.net//images/wappen/small/90_1519554073.png?lm=1519554073
Barnsley,https://tmssl.akamaized.net//images/wappen/small/349.png?lm=1574162298
Bayer 05,https://tmssl.akamaized.net//images/wappen/small/95_1400668690.png?lm=1400668689
Bayern Munich,https://tmssl.akamaized.net//images/wappen/small/27.png?lm=1729503608
Beerschot AC,https://tmssl.akamaized.net//images/wappen/small/566.png?lm=1420309154
Beerschot VA,https://tmssl.akamaized.net//images/wappen/small/41274.png?lm=1568728391
Birmingham,https://tmssl.akamaized.net//images/wappen/small/337.png?lm=1672321276
Blackburn,https://tmssl.akamaized.net//images/wappen/small/164.png?lm=1495228542
Blackpool,https://tmssl.akamaized.net//images/wappen/small/1181.png?lm=1407655321
Bolton,https://tmssl.akamaized.net//images/wappen/small/355.png?lm=1407653952
Boom FC,https://tmssl.akamaized.net//images/wappen/small/57299.png?lm=1481015989
Bournemouth,https://tmssl.akamaized.net//images/wappen/small/989.png?lm=1457991811
Brentford,https://tmssl.akamaized.net//images/wappen/small/1148.png?lm=1625150543
Brighton,https://tmssl.akamaized.net//images/wappen/small/1237.png?lm=1492718902
Bristol City,https://tmssl.akamaized.net//images/wappen/small/698.png?lm=1571314125
Burnley,https://tmssl.akamaized.net//images/wappen/small/1132.png?lm=1686818840
Burton Albion,https://tmssl.akamaized.net//images/wappen/small/2963_1756884043.png?lm=1756884044
Cambuur L.,https://tmssl.akamaized.net//images/wappen/small/133_1400701511.png?lm=1400701509
Cardiff,https://tmssl.akamaized.net//images/wappen/small/603.png?lm=1478337063
Carl Zeiss Jena,https://tmssl.akamaized.net//images/wappen/small/113.png?lm=1402955896
Cercle Brugge,https://tmssl.akamaized.net//images/wappen/small/520.png?lm=1713864588
Charlton,https://tmssl.akamaized.net//images/wappen/small/358.png?lm=1448178743
Chemnitzer FC,https://tmssl.akamaized.net//images/wappen/small/21.png?lm=1403259677
Club Brugge,https://tmssl.akamaized.net//images/wappen/small/2282.png?lm=1716279106
Colchester Utd.,https://tmssl.akamaized.net//images/wappen/small/1060.png?lm=1570543405
Coventry,https://tmssl.akamaized.net//images/wappen/small/990.png?lm=1684518179
Crewe Alexandra,https://tmssl.akamaized.net//images/wappen/small/1042.png?lm=1520420741
Crystal Palace,https://tmssl.akamaized.net//images/wappen/small/873_1417084465.png?lm=1417084465
Darmstadt 98,https://tmssl.akamaized.net//images/wappen/small/105.png?lm=1501493517
De Graafschap,https://tmssl.akamaized.net//images/wappen/small/642_1691659595.png?lm=1691659597
Derby,https://tmssl.akamaized.net//images/wappen/small/22.png?lm=1407654006
Doncaster,https://tmssl.akamaized.net//images/wappen/small/2454.png?lm=1409253612
Dordrecht'90,https://tmssl.akamaized.net//images/wappen/small/1455_1400745108.png?lm=1400745107
Dortmund,https://tmssl.akamaized.net//images/wappen/small/16.png?lm=1396275280
Dynamo Dresden,https://tmssl.akamaized.net//images/wappen/small/129_1400665814.png?lm=1400665813
E. Braunschweig,https://tmssl.akamaized.net//images/wappen/small/23_1469477679.png?lm=1469477679
Eendracht Aalst,https://tmssl.akamaized.net//images/wappen/small/1111_1464616231.png?lm=1464616231
Eintracht Trier,https://tmssl.akamaized.net//images/wappen/small/104.png?lm=1596389574
Energie Cottbus,https://tmssl.akamaized.net//images/wappen/small/25_1750233577.png?lm=1750233577
Erzgebirge Aue,https://tmssl.akamaized.net//images/wappen/small/94.png?lm=1402669560
Exc. Mouscron,https://tmssl.akamaized.net//images/wappen/small/1433.png?lm=1635927565
Excelsior,https://tmssl.akamaized.net//images/wappen/small/798.png?lm=1626701001
F. Düsseldorf,https://tmssl.akamaized.net//images/wappen/small/38.png?lm=1405514004
FC 08 Homburg,https://tmssl.akamaized.net//images/wappen/small/459_1400763606.png?lm=1400763604
FC Brüssel,https://tmssl.akamaized.net//images/wappen/small/3898_1464359162.png?lm=1464359162
FC Den Bosch,https://tmssl.akamaized.net//images/wappen/small/404.png?lm=1405109468
FC Den Haag,https://tmssl.akamaized.net//images/wappen/small/1268_1400663475.png?lm=1400663474
FC Dordrecht,https://tmssl.akamaized.net//images/wappen/small/1455_1658318183.png?lm=1658318183
FC Emmen,https://tmssl.akamaized.net//images/wappen/small/1283_1750407474.png?lm=1750407475
FC Groningen,https://tmssl.akamaized.net//images/wappen/small/202.png?lm=1657052745
FC Gütersloh,https://tmssl.akamaized.net//images/wappen/small/220_1411201841.png?lm=1411201841
FC Ingolstadt,https://tmssl.akamaized.net//images/wappen/small/4795.png?lm=1746777235
FC Remscheid,https://tmssl.akamaized.net//images/wappen/small/662.png?lm=1425199515
FC Schalke 04,https://tmssl.akamaized.net//images/wappen/small/33.png?lm=1656580846
