player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Granit Xhaka,33,Switzerland,Sunderland,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/111455-1689711080.jpg?lm=1
Virgil van Dijk,34,Netherlands,Liverpool,2018,2025,231,Premier League,https://img.a.transfermarkt.technology/portrait/medium/139208-1702049837.jpg?lm=1
Martin Dúbravka,36,Slovakia,Burnley,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/74960-1700237195.jpg?lm=1
Leny Yoro,19,France,Man Utd,2024,2025,32,Premier League,https://img.a.transfermarkt.technology/portrait/medium/923831-1747857948.jpg?lm=1
Yegor Yarmolyuk,21,Ukraine,Brentford,2023,2025,69,Premier League,https://img.a.transfermarkt.technology/portrait/medium/717411-1740606151.jpg?lm=1
Carlos Baleba,21,Cameroon,Brighton,2023,2025,72,Premier League,https://img.a.transfermarkt.technology/portrait/medium/973085-1666690662.jpg?lm=1
Riccardo Calafiori,23,Italy,Arsenal,2024,2025,30,Premier League,https://img.a.transfermarkt.technology/portrait/medium/502821-1727382174.jpg?lm=1
Anthony Elanga,23,Sweden,Newcastle,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/583189-1700739021.jpg?lm=1
Jurriën Timber,24,Netherlands,Arsenal,2023,2025,43,Premier League,https://img.a.transfermarkt.technology/portrait/medium/420243-1702413077.jpg?lm=1
Brennan Johnson,24,Wales,Tottenham,2024,2025,44,Premier League,https://img.a.transfermarkt.technology/portrait/medium/470607-1692959021.jpg?lm=1
Brenden Aaronson,25,United States,Leeds,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/393323-1691614083.jpg?lm=1
Brenden Aaronson,21,United States,Leeds,2022,2022,36,Premier League,https://img.a.transfermarkt.technology/portrait/medium/393323-1691614083.jpg?lm=1
Erling Haaland,25,Norway,Man City,2022,2025,108,Premier League,https://img.a.transfermarkt.technology/portrait/medium/418560-1709108116.png?lm=1
Marc Cucurella,27,Spain,Chelsea,2022,2025,92,Premier League,https://img.a.transfermarkt.technology/portrait/medium/284857-1659559729.jpg?lm=1
Jarrod Bowen,28,England,West Ham,2019,2025,204,Premier League,https://img.a.transfermarkt.technology/portrait/medium/314875-1662362005.jpg?lm=1
Matty Cash,28,Poland,Aston Villa,2020,2025,159,Premier League,https://img.a.transfermarkt.technology/portrait/medium/425334-1668091733.jpg?lm=1
Josh Cullen,29,Ireland,Burnley,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/242606-1626867228.jpg?lm=1
Josh Cullen,27,Ireland,Burnley,2023,2023,25,Premier League,https://img.a.transfermarkt.technology/portrait/medium/242606-1626867228.jpg?lm=1
Marshall Munetsi,29,Zimbabwe,Wolves,2024,2025,25,Premier League,https://img.a.transfermarkt.technology/portrait/medium/414908-1723836952.png?lm=1
João Palhinha,30,Portugal,Tottenham,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/257455-1684773447.jpg?lm=1
Bernardo Silva,31,Portugal,Man City,2017,2025,277,Premier League,https://img.a.transfermarkt.technology/portrait/medium/241641-1684311533.jpg?lm=1
Mohamed Salah,33,Egypt,Liverpool,2017,2025,299,Premier League,https://img.a.transfermarkt.technology/portrait/medium/148455-1727337594.jpg?lm=1
Jordan Henderson,35,England,Brentford,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/61651-1662621084.jpg?lm=1
Idrissa Gueye,36,Senegal,Everton,2022,2025,106,Premier League,https://img.a.transfermarkt.technology/portrait/medium/126665-1746646577.jpg?lm=1
Idrissa Gueye,28,Senegal,Everton,2016,2018,99,Premier League,https://img.a.transfermarkt.technology/portrait/medium/126665-1746646577.jpg?lm=1
Noah Sadiki,20,DR Congo,Sunderland,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/727089-1714468034.png?lm=1
Chemsdine Talbi,20,Morocco,Sunderland,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/743384-1661855876.jpg?lm=1
João Pedro,24,Brazil,Chelsea,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/626724-1724792744.jpg?lm=1
Morgan Gibbs-White,25,England,Nott'm Forest,2023,2025,82,Premier League,https://img.a.transfermarkt.technology/portrait/medium/429014-1687975822.jpg?lm=1
Reece James,25,England,Chelsea,2019,2025,138,Premier League,https://img.a.transfermarkt.technology/portrait/medium/472423-1683900849.jpg?lm=1
Jan Paul van Hecke,25,Netherlands,Brighton,2022,2025,81,Premier League,https://img.a.transfermarkt.technology/portrait/medium/576314-1742501220.jpg?lm=1
Ibrahima Konaté,26,France,Liverpool,2021,2025,93,Premier League,https://img.a.transfermarkt.technology/portrait/medium/357119-1669190550.jpg?lm=1
Gabriel Magalhães,27,Brazil,Arsenal,2020,2025,171,Premier League,https://img.a.transfermarkt.technology/portrait/medium/435338-1684162833.jpg?lm=1
Joe Rodon,28,Wales,Leeds,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/297212-1666698393.jpg?lm=1
Nikola Milenković,28,Serbia,Nott'm Forest,2024,2025,48,Premier League,https://img.a.transfermarkt.technology/portrait/medium/413507-1661166461.jpg?lm=1
Jean-Philippe Mateta,28,France,Crystal Palace,2020,2025,141,Premier League,https://img.a.transfermarkt.technology/portrait/medium/420002-1723202650.jpg?lm=1
Ollie Watkins,29,England,Aston Villa,2020,2025,195,Premier League,https://img.a.transfermarkt.technology/portrait/medium/324358-1708341279.jpg?lm=1
Daniel Muñoz,29,Colombia,Crystal Palace,2023,2025,64,Premier League,https://img.a.transfermarkt.technology/portrait/medium/493003-1718642628.jpg?lm=1
Lucas Digne,32,France,Aston Villa,2022,2025,104,Premier League,https://img.a.transfermarkt.technology/portrait/medium/126664-1736160616.jpg?lm=1
Dan Burn,33,England,Newcastle,2021,2025,148,Premier League,https://img.a.transfermarkt.technology/portrait/medium/134270-1682340860.jpg?lm=1
Quilindschy Hartman,23,Netherlands,Burnley,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/514285-1723820103.jpg?lm=1
Moisés Caicedo,24,Ecuador,Chelsea,2023,2025,84,Premier League,https://img.a.transfermarkt.technology/portrait/medium/687626-1660729724.jpg?lm=1
André,24,Brazil,Wolves,2024,2025,44,Premier League,https://img.a.transfermarkt.technology/portrait/medium/800176-1699348390.jpg?lm=1
Matthijs de Ligt,26,Netherlands,Man Utd,2024,2025,40,Premier League,https://img.a.transfermarkt.technology/portrait/medium/326031-1700659567.jpg?lm=1
Marcos Senesi,28,Argentina,Bournemouth,2022,2025,90,Premier League,https://img.a.transfermarkt.technology/portrait/medium/469781-1738824319.jpg?lm=1
Michael Kayode,21,Italy,Brentford,2024,2025,23,Premier League,https://img.a.transfermarkt.technology/portrait/medium/823486-1725531169.jpg?lm=1
Robin Roefs,22,Netherlands,Sunderland,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/646991-1723035894.jpg?lm=1
Alex Scott,22,England,Bournemouth,2023,2025,54,Premier League,https://img.a.transfermarkt.technology/portrait/medium/855256-1656922605.jpg?lm=1
Kevin Schade,23,Germany,Brentford,2022,2025,78,Premier League,https://img.a.transfermarkt.technology/portrait/medium/473050-1700560328.jpg?lm=1
Sepp van den Berg,23,Netherlands,Brentford,2024,2025,42,Premier League,https://img.a.transfermarkt.technology/portrait/medium/541231-1692000386.jpg?lm=1
Adrien Truffert,23,France,Bournemouth,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/654539-1754901329.jpg?lm=1
Hugo Bueno,23,Spain,Wolves,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/698678-1669020197.jpg?lm=1
